Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
SEMA3B	SEMAA	SemA, semaV, LUCA-1, sema5	protein-coding gene	ENSG00000012171
SEMA3B-AS1			non-coding RNA	ENSG00000232352
SEMA3C	SEMAE	SemE	protein-coding gene	ENSG00000075223
SEMA3D		coll-2, Sema-Z2	protein-coding gene	ENSG00000153993
SEMA3E	SEMAH	M-SemaK, KIAA0331, coll-5	protein-coding gene	ENSG00000170381
SEMA3F		SEMAK, Sema4	protein-coding gene	ENSG00000001617
SEMA3F-AS1		RBM5-AS1	non-coding RNA	ENSG00000235016
SEMA3G		FLJ00014, sem2	protein-coding gene	ENSG00000010319
SEMA4A	SEMAB	SemB, FLJ12287, CORD10	protein-coding gene	ENSG00000196189
SEMA4B	SEMAC	SemC, KIAA1745, MGC131831	protein-coding gene	ENSG00000185033
SEMA4C	SEMAI	Semacl1, Semaf	protein-coding gene	ENSG00000168758
SEMA4D	SEMAJ, C9orf164	CD100, coll-4, FLJ39737	protein-coding gene	ENSG00000187764
SEMA4F	SEMAM	SEMAW	protein-coding gene	ENSG00000135622
SEMA4G		FLJ20590, KIAA1619	protein-coding gene	ENSG00000095539
SEMA5A	SEMAF	semF	protein-coding gene	ENSG00000112902
SEMA5A-AS1			non-coding RNA	ENSG00000251370
SEMA5B	SEMAG	SemG, KIAA1445, FLJ10372	protein-coding gene	ENSG00000082684
SEMA6A	SEMAQ	KIAA1368, SEMA6A1, SEMA, HT018	protein-coding gene	ENSG00000092421
SEMA6A-AS1			non-coding RNA	ENSG00000248445
SEMA6A-AS2			non-coding RNA	ENSG00000249167
SEMA6B	SEMAN	semaZ, SEMA-VIB, SEM-SEMA-Y	protein-coding gene	ENSG00000167680
SEMA6C		KIAA1869	protein-coding gene	ENSG00000143434
SEMA6D		KIAA1479, FLJ11598	protein-coding gene	ENSG00000137872
SEMA7A	SEMAL	H-Sema-L, CD108	protein-coding gene	ENSG00000138623
SEMG1	SEMG	CT103	protein-coding gene	ENSG00000124233
SEMG2		SGII	protein-coding gene	ENSG00000124157
SEN1	SEN		other	
SEN2			phenotype	
SEN3			phenotype	
SEN6			phenotype	
SEN6A			phenotype	
SEN6B			phenotype	
SENCR	FLI1-AS1		non-coding RNA	ENSG00000254703
SENP1			protein-coding gene	ENSG00000079387
SENP2		SMT3IP2, KIAA1331, DKFZp762A2316, AXAM2	protein-coding gene	ENSG00000163904
SENP3		DKFZP586K0919, SSP3, DKFZp762A152, SMT3IP1, Ulp1	protein-coding gene	ENSG00000161956
SENP3-EIF4A1			other	ENSG00000277957
SENP5		MGC27076	protein-coding gene	ENSG00000119231
SENP6		SUSP1, KIAA0797	protein-coding gene	ENSG00000112701
SENP7			protein-coding gene	ENSG00000138468
SENP8	PRSC2	NEDP1, DEN1, HsT17512	protein-coding gene	ENSG00000166192
SEPHS1		SPS, SPS1	protein-coding gene	ENSG00000086475
SEPHS1P1			pseudogene	ENSG00000182722
SEPHS1P2			pseudogene	ENSG00000258787
SEPHS1P3			pseudogene	
SEPHS1P4			pseudogene	ENSG00000230146
SEPHS1P6			pseudogene	ENSG00000213938
SEPHS1P7			pseudogene	ENSG00000231926
SEPHS2		SPS2, SPS2b	protein-coding gene	ENSG00000179918
SEPHS2P1	SEPHS1P5		pseudogene	ENSG00000250247
SEPSECS		SLA/LP, SLA	protein-coding gene	ENSG00000109618
SEPSECS-AS1			non-coding RNA	ENSG00000281501
SEPTIN1	DIFF6, SEPT1	PNUTL3	protein-coding gene	ENSG00000180096
SEPTIN2	DIFF6, NEDD5, SEPT2	KIAA0158, hNedd5, Pnutl3	protein-coding gene	ENSG00000168385
SEPTIN2P1	SEPT2P1		pseudogene	ENSG00000227850
SEPTIN3	SEP3, SEPT3		protein-coding gene	ENSG00000100167
SEPTIN4	PNUTL2, C17orf47, SEPT4	H5, CE5B3, hucep-7, ARTS, hCDCREL-2, MART, FLJ40121	protein-coding gene	ENSG00000108387
SEPTIN4-AS1	SEPT4-AS1		non-coding RNA	ENSG00000264672
SEPTIN5	PNUTL1, SEPT5	HCDCREL-1, H5	protein-coding gene	ENSG00000184702
SEPTIN6	SEPT6	KIAA0128, SEP2, SEPT2, MGC16619, MGC20339	protein-coding gene	ENSG00000125354
SEPTIN7	CDC10, SEPT7	CDC3, SEPT7A	protein-coding gene	ENSG00000122545
SEPTIN7-DT	SEPT7-AS1, SEPTIN7-AS1		non-coding RNA	ENSG00000228878
SEPTIN7P1	CDC10P, SEPT7P1		pseudogene	ENSG00000259090
SEPTIN7P2	SEPT7B, SEPT13, SEPT7P2	DKFZp313J1114	pseudogene	ENSG00000214765
SEPTIN7P3	SEPT7P3		pseudogene	ENSG00000226102
SEPTIN7P4	SEPT7P4		pseudogene	ENSG00000240651
SEPTIN7P5	SEPT7P5		pseudogene	ENSG00000164740
SEPTIN7P6	SEPT7P6		pseudogene	ENSG00000241007
SEPTIN7P7	SEPT7P7		pseudogene	ENSG00000229897
SEPTIN7P8	SEPT7P8		pseudogene	ENSG00000229000
SEPTIN7P9	CDC10L, SEPT7L, SEPT7P9	bA291L22.2	pseudogene	ENSG00000120555
SEPTIN8	SEPT8	KIAA0202, SEP2	protein-coding gene	ENSG00000164402
SEPTIN9	MSF, SEPT9	MSF1, KIAA0991, PNUTL4, AF17q25, SeptD1	protein-coding gene	ENSG00000184640
SEPTIN9-DT			non-coding RNA	ENSG00000263718
SEPTIN10	SEPT10	FLJ11619	protein-coding gene	ENSG00000186522
SEPTIN10P1	SEPT10P1		pseudogene	ENSG00000253541
SEPTIN11	SEPT11	FLJ10849	protein-coding gene	ENSG00000138758
SEPTIN12	SEPT12	FLJ25410	protein-coding gene	ENSG00000140623
SEPTIN14	SEPT14	FLJ44060	protein-coding gene	ENSG00000154997
SEPTIN14P1	SEPT14P1		pseudogene	ENSG00000231523
SEPTIN14P2	SEPT14P2		pseudogene	ENSG00000244528
SEPTIN14P3	SEPT14P3		pseudogene	ENSG00000226008
SEPTIN14P4	SEPT14P4		pseudogene	ENSG00000251155
SEPTIN14P5	SEPT14P5		pseudogene	ENSG00000250765
SEPTIN14P6	SEPT14P6		pseudogene	
SEPTIN14P7	SEPT14P7		pseudogene	
SEPTIN14P8	SEPT14P8		pseudogene	ENSG00000255464
SEPTIN14P10	SEPT14P10		pseudogene	
SEPTIN14P11	SEPT14P11		pseudogene	
SEPTIN14P12	SEPT14P12		pseudogene	ENSG00000235748
SEPTIN14P13	SEPT14P13		pseudogene	ENSG00000224813
SEPTIN14P14	SEPT14P14		pseudogene	
SEPTIN14P15	SEPT14P15		pseudogene	
SEPTIN14P16	SEPT14P16		pseudogene	
SEPTIN14P17	SEPT14P17		pseudogene	ENSG00000274886
SEPTIN14P18	SEPT14P18		pseudogene	
SEPTIN14P19	SEPT14P19		pseudogene	ENSG00000281379
SEPTIN14P20	SEPT14P20		pseudogene	
SEPTIN14P21	SEPT14P21		pseudogene	ENSG00000231512
SEPTIN14P22	SEPT14P22		pseudogene	
SEPTIN14P23	SEPT14P23		pseudogene	
SEPTIN14P24	SEPT14P24		pseudogene	ENSG00000231299
SERAC1		FLJ14917	protein-coding gene	ENSG00000122335
SERBP1		PAI-RBP1, DKFZP564M2423, CGI-55, HABP4L, PAIRBP1, CHD3IP	protein-coding gene	ENSG00000142864
SERBP1P1	SERBP1P		pseudogene	ENSG00000213740
SERBP1P2			pseudogene	ENSG00000225878
SERBP1P3			pseudogene	ENSG00000242142
SERBP1P4			pseudogene	ENSG00000230275
SERBP1P5			pseudogene	ENSG00000249565
SERBP1P6			pseudogene	ENSG00000248873
SERF1			other	
SERF1A	SERF1	H4F5, 4F5, FAM2A, SMAM1	protein-coding gene	ENSG00000172058
SERF1AP1			pseudogene	ENSG00000250813
SERF1B		FAM2B, H4F5C	protein-coding gene	ENSG00000205572
SERF2		H4F5rel, 4F5REL, FAM2C, HsT17089	protein-coding gene	ENSG00000140264
SERGEF		DelGEF, Gnefr	protein-coding gene	ENSG00000129158
SERHL		HS126B42, BK126B4.1, dJ222E13.1	pseudogene	ENSG00000172250
SERHL2			protein-coding gene	ENSG00000183569
SERINC1	TDE2	TMS-2, TDE1L, KIAA1253	protein-coding gene	ENSG00000111897
SERINC2	TDE2L	FKSG84, PRO0899, TDE2	protein-coding gene	ENSG00000168528
SERINC3	TDE1	DIFF33, TDE, SBBI99, TMS-1, AIGP1	protein-coding gene	ENSG00000132824
SERINC4		FLJ40363	protein-coding gene	ENSG00000184716
SERINC5	C5orf12	TPO1	protein-coding gene	ENSG00000164300
SERK1			other	
SERP1		RAMP4, FLJ43424	protein-coding gene	ENSG00000120742
SERP2	C13orf21	bA269C23.1	protein-coding gene	ENSG00000151778
SERPINA1	PI	AAT, A1A, PI1, alpha-1-antitrypsin, A1AT, alpha1AT	protein-coding gene	ENSG00000197249
SERPINA2	PIL, SERPINA2P	ATR, ARGS	protein-coding gene	ENSG00000258597
SERPINA3	AACT	ACT	protein-coding gene	ENSG00000196136
SERPINA4	PI4	KST, KAL, KLST, kallistatin	protein-coding gene	ENSG00000100665
SERPINA5	PLANH3, PCI	PAI3, PROCI	protein-coding gene	ENSG00000188488
SERPINA6	CBG		protein-coding gene	ENSG00000170099
SERPINA7	TBG		protein-coding gene	ENSG00000123561
SERPINA7P1			pseudogene	ENSG00000227657
SERPINA8			other	
SERPINA9		CENTERIN, SERPINA11b, GCET1	protein-coding gene	ENSG00000170054
SERPINA10		PZI, ZPI	protein-coding gene	ENSG00000140093
SERPINA11			protein-coding gene	ENSG00000186910
SERPINA12		OL-64, Vaspin	protein-coding gene	ENSG00000165953
SERPINA13P	SERPINA13	UNQ6121	pseudogene	ENSG00000187483
SERPINA15P			pseudogene	ENSG00000255033
SERPINB1	ELANH2	EI, PI2, anti-elastase	protein-coding gene	ENSG00000021355
SERPINB2	PLANH2, PAI2	HsT1201	protein-coding gene	ENSG00000197632
SERPINB2L1	PAI2L1		other	
SERPINB2L2	PAI2L2		other	
SERPINB3	SCC, SCCA1	T4-A, HsT1196	protein-coding gene	ENSG00000057149
SERPINB4	SCCA2	PI11, LEUPIN, SCCA-2, SCCA1	protein-coding gene	ENSG00000206073
SERPINB5	PI5	maspin	protein-coding gene	ENSG00000206075
SERPINB6	PI6, DFNB91	PTI, CAP	protein-coding gene	ENSG00000124570
SERPINB7		MEGSIN	protein-coding gene	ENSG00000166396
SERPINB8	PI8	CAP2	protein-coding gene	ENSG00000166401
SERPINB8P1	PI8L1, SERPINB11, SERPINBP1		pseudogene	ENSG00000217707
SERPINB9	PI9	CAP3	protein-coding gene	ENSG00000170542
SERPINB9P1		MGC39372	pseudogene	ENSG00000230438
SERPINB10	PI10	bomapin	protein-coding gene	ENSG00000242550
SERPINB11		EPIPIN	protein-coding gene	ENSG00000206072
SERPINB12		YUKOPIN	protein-coding gene	ENSG00000166634
SERPINB13	PI13	HUR7, hurpin, headpin	protein-coding gene	ENSG00000197641
SERPINC1	AT3	ATIII, MGC22579	protein-coding gene	ENSG00000117601
SERPIND1	HCF2	HC-II, HLS2, HC2, D22S673	protein-coding gene	ENSG00000099937
SERPINE1	PLANH1, PAI1	PAI	protein-coding gene	ENSG00000106366
SERPINE2	PI7	PN1, GDN, PNI, nexin	protein-coding gene	ENSG00000135919
SERPINE3			protein-coding gene	ENSG00000253309
SERPINE4P			pseudogene	ENSG00000258624
SERPINF1	PEDF	EPC-1, PIG35	protein-coding gene	ENSG00000132386
SERPINF2	PLI	API, ALPHA-2-PI, A2AP, AAP	protein-coding gene	ENSG00000167711
SERPING1	C1NH	C1IN, C1-INH, HAE1, HAE2, C1INH	protein-coding gene	ENSG00000149131
SERPINH1	CBP1, CBP2, SERPINH2	HSP47, colligen	protein-coding gene	ENSG00000149257
SERPINH1P1	SERPINHP1	bA571F15.6, pshsp47	pseudogene	ENSG00000229207
SERPINH2	CBP2	HSP47, colligen	other	
SERPINI1	PI12		protein-coding gene	ENSG00000163536
SERPINI2	PI14	PANCPIN, TSA2004, MEPI, pancpin	protein-coding gene	ENSG00000114204
SERTAD1		SEI1, TRIP-Br1	protein-coding gene	ENSG00000197019
SERTAD2		TRIP-Br2, KIAA0127, Sei-2	protein-coding gene	ENSG00000179833
SERTAD3		RBT1	protein-coding gene	ENSG00000167565
SERTAD4		DJ667H12.2	protein-coding gene	ENSG00000082497
SERTAD4-AS1	C1orf133		non-coding RNA	ENSG00000203706
SERTM1	C13orf36		protein-coding gene	ENSG00000180440
SERTM2	LINC00890		protein-coding gene	ENSG00000260802
SESN1		SEST1, PA26	protein-coding gene	ENSG00000080546
SESN2		SES2, DKFZp761M0212, HI95, SEST2	protein-coding gene	ENSG00000130766
SESN3		SEST3, MGC29667	protein-coding gene	ENSG00000149212
SESTD1		DKFZp434O0515, Solo	protein-coding gene	ENSG00000187231
SET		PHAPII, 2PP2A, IPP2A2, TAF-IBETA, IGAAD, TAF-I	protein-coding gene	ENSG00000119335
SETBP1		SEB, KIAA0437	protein-coding gene	ENSG00000152217
SETBP1-DT			non-coding RNA	ENSG00000267414
SETD1A		KIAA0339, Set1, KMT2F	protein-coding gene	ENSG00000099381
SETD1B		KIAA1076, Set1B, KMT2G	protein-coding gene	ENSG00000139718
SETD2		HYPB, HIF-1, KIAA1732, FLJ23184, KMT3A	protein-coding gene	ENSG00000181555
SETD3	C14orf154	FLJ23027	protein-coding gene	ENSG00000183576
SETD4	C21orf27, C21orf18		protein-coding gene	ENSG00000185917
SETD4-AS1			non-coding RNA	ENSG00000236677
SETD5		FLJ10707	protein-coding gene	ENSG00000168137
SETD6		FLJ21148	protein-coding gene	ENSG00000103037
SETD6P1			pseudogene	ENSG00000236877
SETD7		KIAA1717, SET7, SET7/9, Set9, KMT7	protein-coding gene	ENSG00000145391
SETD9	C5orf35	MGC33648	protein-coding gene	ENSG00000155542
SETDB1		KG1T, KIAA0067, ESET, KMT1E, TDRD21	protein-coding gene	ENSG00000143379
SETDB2	C13orf4	CLLD8, CLLL8, KMT1F	protein-coding gene	ENSG00000136169
SETMAR		metnase	protein-coding gene	ENSG00000170364
SETP1	SETP19	SETP	pseudogene	ENSG00000258863
SETP2			pseudogene	ENSG00000258893
SETP3	SETP13		pseudogene	ENSG00000266648
SETP4			pseudogene	ENSG00000237211
SETP5			pseudogene	ENSG00000233998
SETP6			pseudogene	ENSG00000241319
SETP7			pseudogene	ENSG00000257444
SETP8			pseudogene	ENSG00000213526
SETP9			pseudogene	ENSG00000235101
SETP10			pseudogene	ENSG00000231905
SETP11			pseudogene	ENSG00000239570
SETP12			pseudogene	ENSG00000251609
SETP13			pseudogene	
SETP14			pseudogene	ENSG00000240489
SETP15			pseudogene	ENSG00000226536
SETP16			pseudogene	ENSG00000254621
SETP17			pseudogene	ENSG00000255222
SETP19			pseudogene	
SETP20			pseudogene	ENSG00000225094
SETP21			pseudogene	ENSG00000214244
SETP22			pseudogene	ENSG00000213701
SETSIP	SETP18		protein-coding gene	ENSG00000230667
SETX	ALS4, SCAR1	KIAA0625, AOA2, Sen1	protein-coding gene	ENSG00000107290
SEZ6			protein-coding gene	ENSG00000063015
SEZ6L			protein-coding gene	ENSG00000100095
SEZ6L-AS1			non-coding RNA	ENSG00000224192
SEZ6L2		PSK-1, FLJ90517	protein-coding gene	ENSG00000174938
SF			phenotype	
SF1	ZNF162	ZFM1, ZCCHC25	protein-coding gene	ENSG00000168066
SF3A1		SF3a120, SAP114, PRPF21, Prp21	protein-coding gene	ENSG00000099995
SF3A2		SF3a66, SAP62, PRPF11, Prp11	protein-coding gene	ENSG00000104897
SF3A3		SF3a60, SAP61, PRP9, PRPF9	protein-coding gene	ENSG00000183431
SF3A3P1	SF3A3P	dJ581P3.1	pseudogene	ENSG00000230568
SF3A3P2			pseudogene	ENSG00000254449
SF3B1		SAP155, SF3b155, PRPF10, Prp10, Hsh155	protein-coding gene	ENSG00000115524
SF3B2		SAP145, SF3b1, Cus1, SF3b145	protein-coding gene	ENSG00000087365
SF3B3		SAP130, SF3b130, RSE1, KIAA0017	protein-coding gene	ENSG00000189091
SF3B4		SAP49, SF3b49, Hsh49	protein-coding gene	ENSG00000143368
SF3B4P1	SF3B4P		pseudogene	ENSG00000258988
SF3B5		SF3b10, MGC3133, Ysf3	protein-coding gene	ENSG00000169976
SF3B6		P14, SF3B14a, Ht006, CGI-110, SAP14a	protein-coding gene	ENSG00000115128
SFD			other	
SFI1		KIAA0542, PISD, PPP1R139	protein-coding gene	ENSG00000198089
SFMBT1		RU1, DKFZp434L243, SFMBT	protein-coding gene	ENSG00000163935
SFMBT2		KIAA1617	protein-coding gene	ENSG00000198879
SFN		YWHAS	protein-coding gene	ENSG00000175793
SFPQ		PSF, PPP1R140	protein-coding gene	ENSG00000116560
SFPQP1	SFPQP		pseudogene	ENSG00000224035
SFR1	C10orf78, MEIR5	MEI5, bA373N18.1, FLJ41960	protein-coding gene	ENSG00000156384
SFR1P1			pseudogene	ENSG00000227541
SFR1P2			pseudogene	ENSG00000223707
SFRP1		SARP2, FRP, FRP-1	protein-coding gene	ENSG00000104332
SFRP2		SARP1, SDF-5, FRP-2	protein-coding gene	ENSG00000145423
SFRP4		frpHE, FRP-4, FRPHE, FRZB-2	protein-coding gene	ENSG00000106483
SFRP5		SARP3	protein-coding gene	ENSG00000120057
SFSWAP	SFRS8	SWAP	protein-coding gene	ENSG00000061936
SFT			other	
SFT2D1	C6orf83	MGC19825, pRGR1	protein-coding gene	ENSG00000198818
SFT2D2		UNQ512, dJ747L4.C1.2	protein-coding gene	ENSG00000213064
SFT2D3		MGC5391	protein-coding gene	ENSG00000173349
SFTA1P	SFTPF		non-coding RNA	ENSG00000225383
SFTA2	SFTPG		protein-coding gene	ENSG00000196260
SFTA3	SFTPH	NANCI	protein-coding gene	ENSG00000229415
SFTP1			other	
SFTP2			other	
SFTP3			other	
SFTP4			other	
SFTPA1	SFTP1	SP-A, SP-A1, COLEC4	protein-coding gene	ENSG00000122852
SFTPA2		SP-A2, COLEC5	protein-coding gene	ENSG00000185303
SFTPA3P	SFTPP1, SFTPAP1	COLEC6	pseudogene	ENSG00000225827
SFTPB	SFTP3	SP-B	protein-coding gene	ENSG00000168878
SFTPC	SFTP2	SP-C, PSP-C, SMDP2, BRICD6	protein-coding gene	ENSG00000168484
SFTPD	SFTP4	SP-D, COLEC7	protein-coding gene	ENSG00000133661
SFTPD-AS1			non-coding RNA	ENSG00000273372
SFTPI			other	
SFTPJ	SFTPJ		other	
SFTPP1			other	
SFXN1		FLJ12876, SLC56A1	protein-coding gene	ENSG00000164466
SFXN2		SLC56A2	protein-coding gene	ENSG00000156398
SFXN3		SFX3, SLC56A3	protein-coding gene	ENSG00000107819
SFXN4		SLC56A4	protein-coding gene	ENSG00000183605
SFXN4P1			pseudogene	ENSG00000270390
SFXN5		BBG-TCC, SLC56A5	protein-coding gene	ENSG00000144040
SGCA	ADL	SCARMD1, LGMD2D, adhalin, DMDA2, A2	protein-coding gene	ENSG00000108823
SGCB	LGMD2E	SGC, A3b	protein-coding gene	ENSG00000163069
SGCD		DAGD, LGMD2F, CMD1L	protein-coding gene	ENSG00000170624
SGCE	DYT11		protein-coding gene	ENSG00000127990
SGCEP1			pseudogene	ENSG00000235352
SGCG	DMDA1, MAM, LGMD2C	SCARMD2, DAGA4, SCG3, DMDA, TYPE, A4, MGC130048	protein-coding gene	ENSG00000102683
SGCZ		ZSG1	protein-coding gene	ENSG00000185053
SGF29	CCDC101	FLJ32446, TDRD29	protein-coding gene	ENSG00000176476
SGIP1		DKFZp761D221	protein-coding gene	ENSG00000118473
SGK1	SGK		protein-coding gene	ENSG00000118515
SGK2			protein-coding gene	ENSG00000101049
SGK2			other	
SGK3	SGK2, SGKL		protein-coding gene	ENSG00000104205
SGLT1			other	
SGLT2			other	
SGM1		KFS, KFS1	phenotype	
SGMS1	TMEM23	MOB, MGC17342, SMS1	protein-coding gene	ENSG00000198964
SGMS1-AS1			non-coding RNA	ENSG00000226200
SGMS2		MGC26963, SMS2	protein-coding gene	ENSG00000164023
SGO1	SGOL1	NY-BR-85	protein-coding gene	ENSG00000129810
SGO1-AS1	SGOL1-AS1		non-coding RNA	ENSG00000231304
SGO1P1	SGOL1P1		pseudogene	ENSG00000270615
SGO1P2	SGOL1P2		pseudogene	ENSG00000234304
SGO2	SGOL2	TRIPIN, FLJ25211	protein-coding gene	ENSG00000163535
SGPL1		SPL	protein-coding gene	ENSG00000166224
SGPP1			protein-coding gene	ENSG00000126821
SGPP2		SPP2, FLJ39004	protein-coding gene	ENSG00000163082
SGSH		HSS, MPS3A, SFMD	protein-coding gene	ENSG00000181523
SGSM1	RUTBC2	KIAA1941	protein-coding gene	ENSG00000167037
SGSM2	RUTBC1	KIAA0397	protein-coding gene	ENSG00000141258
SGSM3	RUTBC3	DJ1042K10.2, RUSC3, RabGAP-5, RABGAP5	protein-coding gene	ENSG00000100359
SGSM3-AS1			non-coding RNA	ENSG00000229999
SGTA	SGT		protein-coding gene	ENSG00000104969
SGTB		Sgt2, FLJ39002	protein-coding gene	ENSG00000197860
SH2B1		FLJ30542, SH2B	protein-coding gene	ENSG00000178188
SH2B2		APS	protein-coding gene	ENSG00000160999
SH2B3		LNK, IDDM20	protein-coding gene	ENSG00000111252
SH2D1A	IMD5, LYP	XLP, MTCP1, DSHP, XLPD, EBVS, SAP	protein-coding gene	ENSG00000183918
SH2D1B		EAT2	protein-coding gene	ENSG00000198574
SH2D2A		TSAd, F2771	protein-coding gene	ENSG00000027869
SH2D3A		NSP1	protein-coding gene	ENSG00000125731
SH2D3C		NSP3	protein-coding gene	ENSG00000095370
SH2D4A		FLJ20967, SH2A, PPP1R38	protein-coding gene	ENSG00000104611
SH2D4B			protein-coding gene	ENSG00000178217
SH2D5			protein-coding gene	ENSG00000189410
SH2D6		FLJ35993	protein-coding gene	ENSG00000152292
SH2D7		LOC646892	protein-coding gene	ENSG00000183476
SH3BGR		21-GARP	protein-coding gene	ENSG00000185437
SH3BGRL		MGC117402	protein-coding gene	ENSG00000131171
SH3BGRL2			protein-coding gene	ENSG00000198478
SH3BGRL3			protein-coding gene	ENSG00000142669
SH3BP1		ARHGAP43	protein-coding gene	ENSG00000100092
SH3BP2		RES4-23, CRBM	protein-coding gene	ENSG00000087266
SH3BP4			protein-coding gene	ENSG00000130147
SH3BP5		Sab	protein-coding gene	ENSG00000131370
SH3BP5-AS1			non-coding RNA	ENSG00000224660
SH3BP5L		KIAA1720	protein-coding gene	ENSG00000175137
SH3D1A			other	
SH3D1B			other	
SH3D5		FLJ12406, SH3P12, CAP, KIAA1296	other	
SH3D19		DKFZp434D0215, EVE1, EBP, Kryn, SH3P19, Eve-1	protein-coding gene	ENSG00000109686
SH3D20		SH3P20	protein-coding gene	
SH3D21	C1orf113	FLJ22938	protein-coding gene	ENSG00000214193
SH3GL1		SH3P8, SH3D2B, CNSA1, EEN, MGC111371	protein-coding gene	ENSG00000141985
SH3GL1P1	SH3GLP1	CNSA-P1	pseudogene	ENSG00000266777
SH3GL1P2	SH3GLP2	CNSA-P2	pseudogene	ENSG00000264943
SH3GL1P3	SH3GLP3	CNSA-P3	pseudogene	ENSG00000267352
SH3GL2		SH3P4, SH3D2A, CNSA2, EEN-B1	protein-coding gene	ENSG00000107295
SH3GL3		SH3D2C, SH3P13, CNSA3, EEN-B2, HsT19371	protein-coding gene	ENSG00000140600
SH3GLB1		CGI-61, KIAA0491, Bif-1, PPP1R70	protein-coding gene	ENSG00000097033
SH3GLB2		KIAA1848	protein-coding gene	ENSG00000148341
SH3KBP1		CIN85	protein-coding gene	ENSG00000147010
SH3PXD2A	SH3MD1	FISH, KIAA0418	protein-coding gene	ENSG00000107957
SH3PXD2A-AS1			non-coding RNA	ENSG00000280693
SH3PXD2B	KIAA1295	FLJ20831	protein-coding gene	ENSG00000174705
SH3RF1	SH3MD2	POSH, RNF142, KIAA1494	protein-coding gene	ENSG00000154447
SH3RF2	PPP1R39	FLJ23654, RNF158, Hepp1, POSHER	protein-coding gene	ENSG00000156463
SH3RF3	SH3MD4	FLJ00204, POSH2	protein-coding gene	ENSG00000172985
SH3RF3-AS1			non-coding RNA	ENSG00000259863
SH3TC1		FLJ20356	protein-coding gene	ENSG00000125089
SH3TC2		KIAA1985, CMT4C	protein-coding gene	ENSG00000169247
SH3TC2-DT			non-coding RNA	ENSG00000250072
SH3YL1		Ray, DKFZP586F1318	protein-coding gene	ENSG00000035115
SHANK1		SSTRIP, SPANK-1, synamon	protein-coding gene	ENSG00000161681
SHANK2	CORTBP1	CTTNBP1, ProSAP1, SHANK, SPANK-3	protein-coding gene	ENSG00000162105
SHANK2-AS1			non-coding RNA	ENSG00000226627
SHANK2-AS2			non-coding RNA	ENSG00000236262
SHANK2-AS3	C11orf76		non-coding RNA	ENSG00000171671
SHANK3		SPANK-2, prosap2, KIAA1650, PSAP2	protein-coding gene	ENSG00000251322
SHARPIN		DKFZP434N1923, SIPL1	protein-coding gene	ENSG00000179526
SHB			protein-coding gene	ENSG00000107338
SHBG		ABP, TEBG, MGC126834, MGC138391	protein-coding gene	ENSG00000129214
SHC1	SHC	p66, ShcA	protein-coding gene	ENSG00000160691
SHC1P1			pseudogene	ENSG00000230889
SHC1P2	SHCL1		pseudogene	ENSG00000267691
SHC2		SLI, SCK, SHCB	protein-coding gene	ENSG00000129946
SHC3		N-Shc, NSHC, SHCC	protein-coding gene	ENSG00000148082
SHC4		RaLP, SHCD	protein-coding gene	ENSG00000185634
SHCBP1		FLJ22009, PAL	protein-coding gene	ENSG00000171241
SHCBP1L	C1orf14		protein-coding gene	ENSG00000157060
SHD			protein-coding gene	ENSG00000105251
SHE			protein-coding gene	ENSG00000169291
SHF			protein-coding gene	ENSG00000138606
SHFD1			other	
SHFD2			other	
SHFL	C19orf66	FLJ11286, RyDEN, IRAV, SFL	protein-coding gene	ENSG00000130813
SHFM2	SHFD2	SHSF2	phenotype	
SHFM5			phenotype	
SHH	HPE3, HLP3	HHG1, SMMCI, TPT, TPTPS, MCOPCB5	protein-coding gene	ENSG00000164690
SHISA2	C13orf13, TMEM46	bA398O19.2, PRO28631, WGAR9166, hShisa	protein-coding gene	ENSG00000180730
SHISA3		hShisa3	protein-coding gene	ENSG00000178343
SHISA4	C1orf40, TMEM58	hShisa4	protein-coding gene	ENSG00000198892
SHISA5		SCOTIN, hShisa5	protein-coding gene	ENSG00000164054
SHISA5P1			pseudogene	ENSG00000226641
SHISA5P2			pseudogene	ENSG00000203397
SHISA6		FLJ45455	protein-coding gene	ENSG00000188803
SHISA7			protein-coding gene	ENSG00000187902
SHISA8	C22orf17	Orf26	protein-coding gene	ENSG00000234965
SHISA9			protein-coding gene	ENSG00000237515
SHISAL1	KIAA1644		protein-coding gene	ENSG00000138944
SHISAL2A	FAM159A	MGC52498	protein-coding gene	ENSG00000182183
SHISAL2B	FAM159B		protein-coding gene	ENSG00000145642
SHKBP1		PP203, Sb1	protein-coding gene	ENSG00000160410
SHLD1	C20orf196	FLJ25067, RINN3	protein-coding gene	ENSG00000171984
SHLD2	FAM35A	MGC5560, bA163M19.1, FAM35A1, RINN2	protein-coding gene	ENSG00000122376
SHLD2P1	FAM35B, FAM35EP, FAM35BP	bA38L15.1	pseudogene	ENSG00000165874
SHLD2P2	FAM35AP, FAM35A2, FAM35CP		pseudogene	ENSG00000259096
SHLD2P3	FAM35B2, FAM35DP		pseudogene	ENSG00000189014
SHLD3		AC008560.1, FLJ26957, CTC-534A2.2, RINN1	protein-coding gene	ENSG00000253251
SHMT			other	
SHMT1		CSHMT, SHMT, MGC15229, MGC24556	protein-coding gene	ENSG00000176974
SHMT1P1	SHMT1P		pseudogene	ENSG00000224751
SHMT2	SHMT		protein-coding gene	ENSG00000182199
